Economy,Implementing Organization,Implementing Organization Link,Product Type,Sector,Fuel Type,Scope,Policy Name,Policy Type,Asset Link,Mandatory/Voluntary,Policy Status,Most Recent Effective Date,Test Procedures,Additional Notes,Test Procedures Link,Slug (For Url)
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Ventilation, Fans & Blowers/Portable Fan","Multi-Sector","Electric","Electric fan with EE label should be propeller type electric circulating fan, including desk fan, box fan, wall fan, slide fan, floor fan and ceiling fan. ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/12/2015 ","BDS-818: 1998 or its revisionBDS-843: 1977 or its revisionBDS-844: 1977 or its revision "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-11"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Ventilation, Fans & Blowers/Ceiling Fan","Multi-Sector","Electric","Electric fan with EE label should be propeller type electric circulating fan, including desk fan, box fan, wall fan, slide fan, floor fan and ceiling fan. ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/12/2015 ","BDS-818: 1998 or its revisionBDS-843: 1977 or its revisionBDS-844: 1977 or its revision "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-12"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Refrigeration/Refrigerator","Residential","Electric"," ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/12/2015 ","BDS-1850 : 2012 (Energy Efficiency rating) ,BDS 1849 : 2011 (Performance standards) "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-10"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Lighting/Non-directional Lamp","Multi-Sector","Electric"," ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/12/2015 ","BDS 1761:2006 EBDS-1734: 2003 or its revision; BDS-1735: 2003 or its revision; BDS-1761: 2006 or its revision "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-13"
Venezuela,"Ministerio de Poder Popular para la Energ Eltrica","http://www.mppee.gob.ve/","Heating & Air Conditioning/Room AC","Multi-Sector","Electric","Regulation only applies to air conditioners and air-cooled condenser with a capacity of less than or equal to 35 kW ","Reglamento Tecnico Resolucion Aires Acondicionados","Minimum Energy Performance Standard","http://www.mppee.gob.ve/download/resoluciones/Reglamento%20Tecnico%20Resolucion%20Aires%20Acondicionados.pdf ","mandatory","Entered into Force - No Activity ","11/16/2012 0:00 ","ISO 5151:2010,ISO 13253:2011,IEC 60335-1 Edition 5.0 "," "," ","reglamento-tecnico-resolucion-aires-acondicionados"
Venezuela,"Ministerio de Poder Popular para la Energ Eltrica","http://www.mppee.gob.ve/","Heating & Air Conditioning/Room AC","Multi-Sector","Electric","Regulation only applies to air conditioners and air-cooled condenser with a capacity of less than or equal to 35 kW ","Reglamento Tecnico Resolucion Aires Acondicionados","Label Comparative","http://www.mppee.gob.ve/download/resoluciones/Reglamento%20Tecnico%20Resolucion%20Aires%20Acondicionados.pdf ","mandatory","Entered into Force - No Activity ","11/16/2012 0:00 ","ISO 5151:2010,IEC 60335-1 Edition 5.0,ISO 13253:2011 "," "," ","reglamento-tecnico-resolucion-aires-acondicionados-1"
Venezuela,"Ministerio de Poder Popular para la Energ Eltrica","http://www.mppee.gob.ve/","Lighting/Outdoor Luminaire","Commercial","Electric","street lighting ","Reglamento Tecnico De Luminarias LED 112 ","Label Comparative","http://www.mppee.gob.ve/download/resoluciones/Reglamento%20tecnico%20de%20luminarias%20LED_112.pdf ","mandatory","Entered into Force - No Activity ","10/21/2014 0:00 "," "," "," ","reglamento-tecnico-de-luminarias-led-112"
Venezuela,"Ministerio de Poder Popular para la Energ Eltrica","http://www.mppee.gob.ve/","Lighting/Tubular Lamp","Multi-Sector","Electric","Linear (tube) fluorescent, Circular, Rectilinear ","Reglamento Tecnico Etiquetado De EE LAMPARAS FLUORESCENTES R","Label Comparative","http://www.mppee.gob.ve/download/resoluciones/Reglamento%20Tecnico%20etiquetado%20de%20EE%20LAMPARAS%20FLUORESCENTES%20R.pdf ","mandatory","Entered into Force - No Activity ","3/20/2015 0:00 ","CIE 84 1989,IEC 60901:2001,IEC 60969:2001 "," "," ","reglamento-tecnico-etiquetado-de-ee-lamparas-fluorescentes-r"
Venezuela,"Ministerio de Poder Popular para la Energ Eltrica","http://www.mppee.gob.ve/","Refrigeration/Freezer","Residential","Electric"," ","Reglamento Tecnico Aparatos De Refrigeracion Y Congelacion","Label Comparative","http://www.mppee.gob.ve/download/resoluciones/Reglamento%20Tecnico%20Aparatos%20de%20Refrigeracion%20y%20Congelacion.%20.pdf ","mandatory","Entered into Force - No Activity ","8/23/2013 0:00 ","ISO 15502:2005,IEC 60335-2-24:2007 "," "," ","reglamento-tecnico-aparatos-de-refrigeracion-y-congelacion"
Venezuela,"Ministerio de Poder Popular para la Energ Eltrica","http://www.mppee.gob.ve/","Refrigeration/Freezer","Residential","Electric"," ","Reglamento Tecnico Aparatos De Refrigeracion Y Congelacion","Minimum Energy Performance Standard","http://www.mppee.gob.ve/download/resoluciones/Reglamento%20Tecnico%20Aparatos%20de%20Refrigeracion%20y%20Congelacion.%20.pdf ","mandatory","Entered into Force - No Activity ","8/23/2013 0:00 ","ISO 15502:2005,IEC 60335-2-24:2007 "," "," ","reglamento-tecnico-aparatos-de-refrigeracion-y-congelacion-1"
Venezuela,"Ministerio de Poder Popular para la Energ Eltrica","http://www.mppee.gob.ve/","Refrigeration/Refrigerator","Residential","Electric"," ","Reglamento Tecnico Aparatos De Refrigeracion Y Congelacion","Label Comparative","http://www.mppee.gob.ve/download/resoluciones/Reglamento%20Tecnico%20Aparatos%20de%20Refrigeracion%20y%20Congelacion.%20.pdf ","mandatory","Entered into Force - No Activity ","8/23/2013 0:00 ","IEC 60335-2-24:2007,ISO 15502:2005 "," "," ","reglamento-tecnico-aparatos-de-refrigeracion-y-congelacion-2"
Venezuela,"Ministerio de Poder Popular para la Energ Eltrica","http://www.mppee.gob.ve/","Refrigeration/Refrigerator","Residential","Electric"," ","Reglamento Tecnico Aparatos De Refrigeracion Y Congelacion","Minimum Energy Performance Standard","http://www.mppee.gob.ve/download/resoluciones/Reglamento%20Tecnico%20Aparatos%20de%20Refrigeracion%20y%20Congelacion.%20.pdf ","mandatory","Entered into Force - No Activity ","8/23/2013 0:00 ","ISO 15502:2005,IEC 60335-2-24:2007 "," "," ","reglamento-tecnico-aparatos-de-refrigeracion-y-congelacion-3"
Venezuela,"Ministerio de Poder Popular para la Energ Eltrica","http://www.mppee.gob.ve/","Refrigeration/Refrigerator-Freezer","Residential","Electric"," ","Reglamento Tecnico Aparatos De Refrigeracion Y Congelacion","Minimum Energy Performance Standard","http://www.mppee.gob.ve/download/resoluciones/Reglamento%20Tecnico%20Aparatos%20de%20Refrigeracion%20y%20Congelacion.%20.pdf ","mandatory","Entered into Force - No Activity ","8/23/2013 0:00 ","IEC 60335-2-24:2007,ISO 15502:2005 "," "," ","reglamento-tecnico-aparatos-de-refrigeracion-y-congelacion-4"
Venezuela,"Ministerio de Poder Popular para la Energ Eltrica","http://www.mppee.gob.ve/","Refrigeration/Refrigerator-Freezer","Residential","Electric"," ","Reglamento Tecnico Aparatos De Refrigeracion Y Congelacion","Label Comparative","http://www.mppee.gob.ve/download/resoluciones/Reglamento%20Tecnico%20Aparatos%20de%20Refrigeracion%20y%20Congelacion.%20.pdf ","mandatory","Entered into Force - No Activity ","8/23/2013 0:00 ","IEC 60335-2-24:2007,ISO 15502:2005 "," "," ","reglamento-tecnico-aparatos-de-refrigeracion-y-congelacion-5"
Algeria,"Agence Nationale pour la Promotion et la Rationalisation de l'Utilisation de l'Energie (APRUE)","http://www.aprue.org.dz/","Refrigeration/Refrigerator","Residential","Electric","Refrigerators, freezers and combined appliances for domestic usage that run on electricity
-Household refrigerators without a low temperature compartment
-Household refrigerators with a low temperature compartment from 5-10degC
-Household refrigerators with a zero star low temperature compartment
-Household refrigerators with a one star low temperature compartment
-Household refrigerators with a two star low temperature compartment
-Household refrigerators with a three star low temperature compartment
-Household refrigerators with a freezer compartment
-Cabinet freezers
-Chest freezers
-Household refrigerators and freezers with more than two doors, and other devices not described above ","Algeria Order of 25 Safar 1430 corresponding to February 21 2009 on the energy labeling of domestic refrigerators, freezers and combined equipment subject to specific rules for energy efficiency and powered by electrical energy","Label Comparative","http://www.aprue.org.dz/recueil%20complet%20Aprue.pdf ","voluntary","Entered into Force - No Activity ","8/21/2010 0:00 "," "," "," ","algeria-order-of-25-safar-1430-corresponding-to-february-21-2009-on-the-energy-labeling-of-domestic-refrigerators-freezers-and-combined-equipment-subject-to-specific-rules-for-energy-efficiency-and-powered-by-electrical-energy"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Cooking & Dishwashing/Rice Cooker","Residential","Electric"," ","Government Regulation 70/2009 ","Label Comparative"," ","mandatory","Under Development "," "," "," "," ","government-regulation-70-2009"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Cooking & Dishwashing/Rice Cooker","Residential","Electric"," ","Government Regulation 70/2009 ","Minimum Energy Performance Standard"," ","mandatory","Under Development "," "," "," "," ","government-regulation-70-2009-1"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Heating & Air Conditioning/Chiller","Residential","Electric","Inverter and non inverter AC ","Government Regulation 70/2009 ","Label Comparative"," ","mandatory","Entered into Force - No Activity ","8/1/2016 0:00 ","SNI 04 - 6958-2003, ISO 5151 ;2010 "," "," ","government-regulation-70-2009-2"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Heating & Air Conditioning/Room AC","Multi-Sector","Electric"," ","Government Regulation 70/2009 ","Minimum Energy Performance Standard"," ","mandatory","Under Consideration for Development ","1/1/2014 0:00 "," "," "," ","government-regulation-70-2009-3"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Heating & Air Conditioning/Room AC","Residential","Electric","Inverter and non inverter AC ","Government Regulation 70/2009 ","Minimum Energy Performance Standard"," ","mandatory","Development Completed - Pending Implementation ","1/1/2017 0:00 ","SNI 04 - 6958-2003, ISO 5151 ;2010 "," "," ","government-regulation-70-2009-4"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Laundry/Clothes Washer","Residential","Electric"," ","Government Regulation 70/2009 ","Label Comparative"," ","mandatory","Under Development "," ","SNI IEC 60311-2000 "," "," ","government-regulation-70-2009-5"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Laundry/Iron","Residential","Electric"," ","Government Regulation 70/2009 ","Label Comparative"," ","mandatory","Under Development "," "," "," "," ","government-regulation-70-2009-6"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Lighting/Ballast|Driver","Residential","Electric"," ","Government Regulation 70/2009 ","Label Comparative"," ","mandatory","Entered into Force - No Activity ","1/1/2015 0:00 ","SNI 04 - 6958-2003, ISO 5151 ;2010 ,SNI IEC 60969: 2009 "," "," ","government-regulation-70-2009-7"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Lighting/Non-directional Lamp","Multi-Sector","Electric","Ballasts (Electronic) ","Government Regulation 70/2009 ","Label Comparative"," ","mandatory","Under Consideration for Development "," ","SNI 04-6958-2003, Household and similar electrical appliances - Energy rating labels "," "," ","government-regulation-70-2009-8"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Motors/Medium 3-Phase General Purpose ","Industrial"," "," ","Government Regulation 70/2009 ","Label Comparative"," ","mandatory","Under Development "," ","SNI IEC 60034-2-1:2012 "," "," ","government-regulation-70-2009-9"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Motors/Medium 3-Phase General Purpose ","Multi-Sector","Electric"," ","Government Regulation 70/2009 ","Minimum Energy Performance Standard"," ","mandatory","Under Development "," ","SNI IEC 60034-2-1:2012 "," "," ","government-regulation-70-2009-10"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Refrigeration/Refrigerator","Residential","Electric","Refrigerator and refrigerator freezer ","Government Regulation 70/2009 ","Label Comparative"," ","mandatory","Under Development "," "," "," "," ","government-regulation-70-2009-11"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Refrigeration/Refrigerator","Residential","Electric","Refrigerator and refrigerator freezer ","Government Regulation 70/2009 ","Label Comparative"," ","mandatory","Under Development "," ","SNI 04-6710-2002, SNI 04-6711-2002. SNI 04-6958-2003 "," "," ","government-regulation-70-2009-12"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Refrigeration/Refrigerator-Freezer","Residential","Electric","Refrigerator and refrigerator freezer ","Government Regulation 70/2009 ","Minimum Energy Performance Standard"," ","mandatory","Under Development "," "," "," "," ","government-regulation-70-2009-13"
Indonesia,"Ministry of Energy and Mineral Resources","https://www.esdm.go.id/en","Refrigeration/Refrigerator-Freezer","Residential","Electric","Refrigerator with and without freezer ","Government Regulation 70/2009 ","Minimum Energy Performance Standard"," ","mandatory","Under Development "," "," "," "," ","government-regulation-70-2009-14"
United Arab Emirates,"Emirates Authority For Standardization & Metrology","http://www.esma.gov.ae/en-us","Heating & Air Conditioning/Central AC","Residential","Electric","Ducted ","10 CFR 430.2","Label Comparative","http://www.ecfr.gov/cgi-bin/text-idx?rgn=div8&node=10:3.0.1.4.18.1.9.2 ","mandatory","Under Development ","Tuesday, January 1, 2013 "," "," "," ","10-cfr-430-2"
United Arab Emirates,"Emirates Authority For Standardization & Metrology","http://www.esma.gov.ae/en-us","Heating & Air Conditioning/Chiller","Residential","Electric"," ","10 CFR 430.2","Label Comparative","http://www.ecfr.gov/cgi-bin/text-idx?rgn=div8&node=10:3.0.1.4.18.1.9.2 ","mandatory","Under Development ","Tuesday, January 1, 2013 "," "," "," ","10-cfr-430-2-1"
United Arab Emirates,"Emirates Authority For Standardization & Metrology","http://www.esma.gov.ae/en-us","Heating & Air Conditioning/Room AC","Residential","Electric","Single-phase household window-type and split-type non-ducted room air-conditioners using air and water-cooled condensers for residential use. ","UAE. S 5010:2016 Part 1","Minimum Energy Performance Standard","https://etrans.esma.gov.ae/english/purchase-standards/pages/standard-details.aspx?standardid=b33cdfd5-f075-e511-9402-005056b81473 ","mandatory","Published ","Wednesday, November 30, 2016 "," ","This standard deals with the energy efficiency labels for single phase household air-conditioners for single package (such as window type) and split-system non-ducted air-conditioners using air and water-cooled condensers for residential or commercial use. "," ","uae-s-50102016-part-1"
United Arab Emirates,"Emirates Authority For Standardization & Metrology","http://www.esma.gov.ae/en-us","Heating & Air Conditioning/Room AC","Residential","Electric","Single-phase household window-type and split-type non-ducted room air-conditioners using air and water-cooled condensers for residential use. ","UAE. S 5010:2016 Part 1","Label Comparative","https://etrans.esma.gov.ae/english/purchase-standards/pages/standard-details.aspx?standardid=b33cdfd5-f075-e511-9402-005056b81473 ","mandatory","Published ","Wednesday, November 30, 2016 "," "," "," ","uae-s-50102016-part-1-1"
United Arab Emirates,"Emirates Authority For Standardization & Metrology","http://www.esma.gov.ae/en-us","Laundry/Clothes Dryer","Residential","Electric"," ","UAE. S 5010:2013 Part 2 ","Label Comparative","http://www.puntofocal.gov.ar/notific_otros_miembros/are119_t.pdf ","mandatory","Published ","Thursday, May 30, 2013 ","IEC 61121/2012 "," "," ","uae-s-50102013-part-2"
United Arab Emirates,"Emirates Authority For Standardization & Metrology","http://www.esma.gov.ae/en-us","Laundry/Clothes Washer","Residential","Electric","This standard applies also to washing machines for communal use in blocks of flats or in launderettes up to 20 Kg capacity, but washing machines for commercial laundries is not included. ","UAE. S 5010:2013 Part 2 ","Label Comparative","http://www.puntofocal.gov.ar/notific_otros_miembros/are119_t.pdf ","mandatory","Published ","Thursday, May 30, 2013 ","IEC 60456 /2010 "," "," ","uae-s-50102013-part-2-1"
United Arab Emirates,"Emirates Authority For Standardization & Metrology","http://www.esma.gov.ae/en-us","Lighting/Non-directional Lamp","Residential","Electric","Non-directional LED lamps ","Technical Regulation: Requirements for Approval and Registration of Lighting Products (draft) ","Label Comparative","http://www.puntofocal.gov.ar/notific_otros_miembros/are122_t.pdf ","mandatory","Under Development "," "," ","Table "," ","technical-regulation-requirements-for-approval-and-registration-of-lighting-products-draft"
United Arab Emirates,"Emirates Authority For Standardization & Metrology","http://www.esma.gov.ae/en-us","Lighting/Tubular Lamp","Residential","Electric","Linear fluorescent lamps ","Technical Regulation: Requirements for Approval and Registration of Lighting Products (draft) ","Label Comparative","http://www.puntofocal.gov.ar/notific_otros_miembros/are122_t.pdf ","mandatory","Under Development "," "," "," "," ","technical-regulation-requirements-for-approval-and-registration-of-lighting-products-draft-1"
United Arab Emirates,"Emirates Authority For Standardization & Metrology","http://www.esma.gov.ae/en-us","Refrigeration/Freezer","Residential","Electric","This regulation covers brand new household refrigerators, freezers and refrigerator-freezers having a capacity of not more than 1,500 liters imported to or manufactured in the UAE. This regulation applies to electric mains-operated household refrigerating appliances, stand-alone or built-in configuration. ","UAE.S 5010 -3:2012","Label Comparative","https://etrans.esma.gov.ae/english/purchase-standards/pages/standard-details.aspx?standardid=6d3cdfd5-f075-e511-9402-005056b81473 ","mandatory","Published ","Monday, December 30, 2013 ","UAE.S IEC 62552:2013 "," "," ","uae-s-5010-32012"
